"","emoji","url","label","color"
"11","😭","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/loudly-crying-face_1f62d.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/loudly-crying-face_1f62d.png' width='25'/>","#FFA000"
"12","🥚","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/egg_1f95a.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/egg_1f95a.png' width='25'/>","#F6F3EE"
"13","💉","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/syringe_1f489.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/syringe_1f489.png' width='25'/>","#CACAD0"
"14","🙄","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/face-with-rolling-eyes_1f644.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/face-with-rolling-eyes_1f644.png' width='25'/>","#FFA000"
"15","🤔","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/thinking-face_1f914.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/thinking-face_1f914.png' width='25'/>","#FFA000"
"16","✨","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/sparkles_2728.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/sparkles_2728.png' width='25'/>","#FFE23C"
"17","➡️","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/black-rightwards-arrow_27a1.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/black-rightwards-arrow_27a1.png' width='25'/>","#63809A"
"18","🍳","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/cooking_1f373.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/cooking_1f373.png' width='25'/>","#141312"
"19","😊","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/smiling-face-with-smiling-eyes_1f60a.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/smiling-face-with-smiling-eyes_1f60a.png' width='25'/>","#FFA000"
"20","🐥","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/front-facing-baby-chick_1f425.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/front-facing-baby-chick_1f425.png' width='25'/>","#E17D02"
"21","💚","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/green-heart_1f49a.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/green-heart_1f49a.png' width='25'/>","#45CD2B"
"22","🌱","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/seedling_1f331.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/seedling_1f331.png' width='25'/>","#65B30F"
